Date,Open,High,Low,Close,Adj Close,Volume
8/1/1997,7.415,7.5,7.37,7.475,6.142211,2393000
8/4/1997,7.415,7.56,7.405,7.505,6.166863,2048000
8/5/1997,7.5,7.69,7.475,7.61,6.253142,3385000
8/6/1997,7.675,7.75,7.55,7.655,6.290119,807000
8/7/1997,7.5,7.59,7.45,7.525,6.183297,1917000
8/8/1997,7.49,7.535,7.4,7.46,6.129887,2587000
8/11/1997,7.46,7.465,7.39,7.425,6.101127,2085000
8/12/1997,7.4,7.445,7.16,7.2,5.916245,886000
8/13/1997,7.205,7.38,7.1,7.13,5.858727,813000
8/14/1997,7.08,7.215,7.08,7.2,5.916245,983000
8/15/1997,7.2,7.2,7.2,7.2,5.916245,0
8/18/1997,7.13,7.175,7.1,7.125,5.854618,644000
8/19/1997,7.12,7.145,7.025,7.075,5.813531,1096000
8/20/1997,7.01,7.01,6.75,6.955,5.714929,610000
8/21/1997,6.975,6.985,6.825,6.95,5.710821,559000
8/22/1997,6.925,6.985,6.5,6.535,5.369814,1001000
8/25/1997,6.77,6.77,6.265,6.51,5.349272,642000
8/26/1997,6.575,6.6,6.425,6.445,5.295861,793000
8/27/1997,6.5,6.675,6.49,6.575,5.402681,715000
8/28/1997,6.505,6.7,6.5,6.665,5.476634,926000
8/29/1997,6.475,7,6.475,6.86,5.636867,3200000
9/1/1997,6.9,6.94,6.61,6.805,5.591674,2084000
9/2/1997,6.85,6.9,6.7,6.74,5.538263,793000
9/3/1997,6.87,7.045,6.85,6.91,5.677952,986000
9/4/1997,7,7.1,6.755,6.79,5.579348,471000
9/5/1997,6.93,7.05,6.74,7.015,5.76423,1115000
9/8/1997,7.075,7.2,6.95,7.12,5.850508,1499000
9/9/1997,7.195,7.22,6.95,7.03,5.776556,1017000
9/10/1997,6.95,7.025,6.85,6.96,5.719037,541000
